best_for_category,config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
iterations_done_median,385,10,40,4000,1.5,2.0,0.2,300,999999,999999,0.4,0,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,72584.6343,82033.6145,76560.1218,3108.695871384476,9663990.020762883,76357.9828,1209.7439,1367.2269,1276.00202,51.81160418432235,2684.4423281528893,1272.63305,36,227,109.6,69.39292311019746,4815.377777777777,90.0,336,527,409.6,69.39292311019747,4815.377777777779,390.0,14566.174,63989.1542,36180.47673,12944.6943680925,167565112.28332573,35671.831999999995,0.0857,0.12,0.0989599999999999,0.0098307002124297,9.66426666666666e-05,0.0991,7.31,11.51,8.934000000000001,1.4445083746536205,2.086604444444444,8.605,0,0,0.0,0.0,0.0,0.0
avg_cost_final_minutes_min,486,10,40,4000,1.5,5.0,0.1,650,999999,400,0.4,80,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,63822.3297,78275.5973,72280.92159,4696.460123709374,22056737.69359227,72734.5234,1063.7055,1304.5933,1204.68202,78.27434723780202,6126.873435504005,1212.24205,54,2023,1073.2,638.7322165387028,407978.8444444443,1226.5,704,2673,1723.2,638.7322165387028,407978.8444444443,1876.5,4810.6332,89772.6925,48150.32229,25913.708399569598,671520283.0179237,56103.4121,0.0466,0.088,0.06306,0.0134380223412689,0.0001805804444444,0.05885,14.89,58.36,40.311,14.339440908053408,205.6195655555556,45.08,1,5,2.7,1.159501808728406,1.344444444444445,2.5
avg_cost_final_minutes_max,21,10,40,4000,0.5,2.0,0.1,300,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,68574.8513,85876.3538,81531.90193,5654.883661020012,31977709.219671085,83804.64305,1142.9142,1431.2726,1358.86504,94.24805961592584,8882.696741367114,1396.7440499999998,77,722,279.6,208.684876734702,43549.37777777778,219.0,377,1022,579.6,208.684876734702,43549.37777777778,519.0,19126.6739,26176.8438,22094.91529,2713.256956750355,7361763.313354199,21315.8108,0.2756,0.2914,0.28139,0.0055452582346441,3.074988888888879e-05,0.2794,7.51,20.68,11.685,4.244921802708633,18.01936111111111,10.585,2,6,3.0,1.414213562373095,2.0,2.5
avg_cost_final_minutes_avg,7,10,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,75830.8017,85197.8245,81474.97388,3003.418956746434,9020525.42974384,81281.2525,1263.8467,1419.9637,1357.91623,50.05697235852694,2505.7004817023303,1354.68755,73,1147,465.7,367.9668010387169,135399.56666666665,339.5,723,1797,1115.7,367.9668010387169,135399.56666666665,989.5,13331.2184,29957.7957,20093.09058,5770.065232295235,33293652.784942266,19366.18195,0.2974,0.3129,0.30683,0.0043241055594063,1.8697888888888907e-05,0.3068999999999999,14.93,36.5,22.75,7.490371597368629,56.10566666666666,20.095,6,15,8.8,3.22490309931942,10.4,7.0
avg_cost_final_minutes_std,27,10,40,4000,0.5,2.0,0.1,650,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,66115.4182,82324.7802,74733.55902,4143.885469128349,17171786.781253077,74958.0177,1101.9236,1372.0797,1245.5593199999998,69.0647803070872,4769.94387886622,1249.3003,92,1807,782.7,452.4501323043482,204711.1222222222,702.0,742,2457,1432.7,452.4501323043482,204711.1222222222,1352.0,21331.7967,27336.6067,24617.17492,1783.7760756470975,3181857.08805096,24289.0861,0.2752,0.2914,0.2824,0.0050371949866302,2.5373333333333415e-05,0.28235,15.32,49.98,29.705,9.222271653147311,85.05029444444443,28.43,2,7,3.8,1.3984117975602022,1.955555555555556,3.5
avg_cost_final_minutes_var,27,10,40,4000,0.5,2.0,0.1,650,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,66115.4182,82324.7802,74733.55902,4143.885469128349,17171786.781253077,74958.0177,1101.9236,1372.0797,1245.5593199999998,69.0647803070872,4769.94387886622,1249.3003,92,1807,782.7,452.4501323043482,204711.1222222222,702.0,742,2457,1432.7,452.4501323043482,204711.1222222222,1352.0,21331.7967,27336.6067,24617.17492,1783.7760756470975,3181857.08805096,24289.0861,0.2752,0.2914,0.2824,0.0050371949866302,2.5373333333333415e-05,0.28235,15.32,49.98,29.705,9.222271653147311,85.05029444444443,28.43,2,7,3.8,1.3984117975602022,1.955555555555556,3.5
avg_cost_final_minutes_median,7,10,40,4000,0.5,2.0,0.05,650,999999,100,0.4,20,999999.0,0.6,0.5,"(6, 20)",1000.0,0.01,10.0,75830.8017,85197.8245,81474.97388,3003.418956746434,9020525.42974384,81281.2525,1263.8467,1419.9637,1357.91623,50.05697235852694,2505.7004817023303,1354.68755,73,1147,465.7,367.9668010387169,135399.56666666665,339.5,723,1797,1115.7,367.9668010387169,135399.56666666665,989.5,13331.2184,29957.7957,20093.09058,5770.065232295235,33293652.784942266,19366.18195,0.2974,0.3129,0.30683,0.0043241055594063,1.8697888888888907e-05,0.3068999999999999,14.93,36.5,22.75,7.490371597368629,56.10566666666666,20.095,6,15,8.8,3.22490309931942,10.4,7.0
diversity_final_min,34,10,40,4000,0.5,2.0,0.1,1000,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,65908.101,75688.5132,72183.79143000001,3346.5425716310515,11199347.183738971,72606.23019999999,1098.4684,1261.4752,1203.06319,55.77569019194357,3110.92761638767,1210.1038,321,3834,1906.7,1107.8655203187393,1227366.0111111111,1609.0,0,3472,1960.1,1168.6860095375869,1365826.9888888889,2365.5,18965.1909,28251.9938,24864.18742,2878.4688426423595,8285582.878062844,25057.8585,0.0,0.2978,0.22507,0.1188563002583839,0.0141268201111111,0.2774,26.81,85.71,57.121,17.843460333317264,318.3890766666666,53.9,4,14,8.4,3.3065591380365986,10.933333333333334,8.0
diversity_final_max,464,10,40,4000,1.5,5.0,0.05,650,999999,250,0.4,50,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,68422.7818,76968.2505,71809.24866,2893.672944673858,8373343.110737479,70977.079,1140.3797,1282.8042,1196.82083,48.22787304403155,2325.927738351225,1182.9513499999998,305,1712,790.0,404.12071903770976,163313.55555555556,711.5,955,2362,1440.0,404.12071903770976,163313.55555555556,1361.5,52380.5722,82740.4192,64068.99582,10183.16005875602,103696748.78224394,60490.61295,0.0355,0.0868,0.0648499999999999,0.0159342572953858,0.0002539005555555,0.06645,20.7,51.95,33.512,10.155374931532563,103.13164000000002,31.45,3,7,4.0,1.3333333333333333,1.7777777777777777,3.5
diversity_final_avg,511,10,40,4000,1.5,5.0,0.2,1000,999999,400,0.4,80,999999.0,0.3,0.5,"(6, 20)",1000.0,0.01,10.0,64725.2853,76557.5024,72819.53876,3404.789792060493,11592593.528119337,73674.7013,1078.7548,1275.9584,1213.65899,56.74648841539693,3220.1639474787785,1227.9117,645,3693,1851.6,1192.32603669373,1421641.377777778,1274.5,0,2504,1489.9,1054.08743575769,1111100.322222222,2063.5,55607.35,95914.6416,73293.92413999999,14952.565425947663,223579212.81724548,68347.29785,0.0,0.102,0.05572,0.0416660213283357,0.0017360573333333,0.0713999999999999,32.99,81.44,53.959,18.99351728587649,360.7536988888889,45.27,2,8,4.6,2.412928142780514,5.822222222222221,3.5
