best_for_category,config_id,repeats_count,ants,iterations,alpha,beta,evaporation,patience,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_big_shake,tau_min,tau_max,best_cost_min,best_cost_max,best_cost_avg,best_cost_std,best_cost_var,best_cost_median,best_cost_minutes_min,best_cost_minutes_max,best_cost_minutes_avg,best_cost_minutes_std,best_cost_minutes_var,best_cost_minutes_median,best_iteration_min,best_iteration_max,best_iteration_avg,best_iteration_std,best_iteration_var,best_iteration_median,iterations_done_min,iterations_done_max,iterations_done_avg,iterations_done_std,iterations_done_var,iterations_done_median,avg_cost_final_minutes_min,avg_cost_final_minutes_max,avg_cost_final_minutes_avg,avg_cost_final_minutes_std,avg_cost_final_minutes_var,avg_cost_final_minutes_median,diversity_final_min,diversity_final_max,diversity_final_avg,diversity_final_std,diversity_final_var,diversity_final_median,execution_time_min,execution_time_max,execution_time_avg,execution_time_std,execution_time_var,execution_time_median,big_shakes_count_min,big_shakes_count_max,big_shakes_count_avg,big_shakes_count_std,big_shakes_count_var,big_shakes_count_median
avg_cost_final_minutes_max,297,10,40,4000,1.0,5.0,0.05,650,999999,0.4,0,0.3,0.01,10.0,76271.9688,84894.3217,79679.12323,2764.4668394459663,7642276.906396369,78981.52345000001,1271.1995,1414.9054,1327.98539,46.07445927309048,2122.8557973076736,1316.3587,78,334,188.7,98.80064102356152,9761.56666666667,170.5,728,984,838.7,98.80064102356152,9761.566666666666,820.5,1464.2995,1664.9172,1588.57674,65.85272099720714,4336.580862736006,1599.57395,0.0334,0.0798,0.05725,0.0150986570410895,0.0002279694444444,0.0567,21.74,29.73,25.19,2.9985107414626126,8.991066666666667,24.595,0,0,0.0,0.0,0.0,0.0
avg_cost_final_minutes_avg,95,10,40,4000,0.5,3.5,0.1,1000,999999,0.4,0,0.3,0.01,10.0,67188.7112,86628.2123,79399.58611,5912.984681516305,34963387.84384647,80702.573,1119.8119,1443.8035,1323.3264299999998,98.5497337971043,9712.05003148012,1345.0428499999998,78,1037,367.4,359.3207171563835,129111.3777777778,252.5,1078,2037,1367.4,359.3207171563836,129111.37777777782,1252.5,1357.0888,1741.4255,1528.6755,120.00991270012288,14402.379146291112,1521.09015,0.0179,0.0719,0.04572,0.0192773787983048,0.0003716173333333,0.04425,32.16,60.89,40.88,10.722704882631062,114.9764,37.44,0,0,0.0,0.0,0.0,0.0
avg_cost_final_minutes_std,8,10,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0,73702.8866,81504.6646,77453.37383,2398.102462746686,5750895.42183172,77765.96914999999,1228.3814,1358.4111,1290.88956,39.968391502402646,1597.4723192893318,1296.0994999999998,260,1657,802.3,443.1621348646314,196392.67777777775,795.5,910,2307,1452.3,443.1621348646314,196392.67777777775,1445.5,1850.062,1940.941,1882.32176,32.268484460717325,1041.2550893915557,1870.1763,0.1336,0.2157,0.17035,0.0297741591914122,0.0008865005555555,0.16685,28.47,74.03,46.966,13.242343028667127,175.3596488888889,45.95,3,9,5.4,1.776388345929897,3.1555555555555554,5.5
avg_cost_final_minutes_var,8,10,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0,73702.8866,81504.6646,77453.37383,2398.102462746686,5750895.42183172,77765.96914999999,1228.3814,1358.4111,1290.88956,39.968391502402646,1597.4723192893318,1296.0994999999998,260,1657,802.3,443.1621348646314,196392.67777777775,795.5,910,2307,1452.3,443.1621348646314,196392.67777777775,1445.5,1850.062,1940.941,1882.32176,32.268484460717325,1041.2550893915557,1870.1763,0.1336,0.2157,0.17035,0.0297741591914122,0.0008865005555555,0.16685,28.47,74.03,46.966,13.242343028667127,175.3596488888889,45.95,3,9,5.4,1.776388345929897,3.1555555555555554,5.5
avg_cost_final_minutes_median,95,10,40,4000,0.5,3.5,0.1,1000,999999,0.4,0,0.3,0.01,10.0,67188.7112,86628.2123,79399.58611,5912.984681516305,34963387.84384647,80702.573,1119.8119,1443.8035,1323.3264299999998,98.5497337971043,9712.05003148012,1345.0428499999998,78,1037,367.4,359.3207171563835,129111.3777777778,252.5,1078,2037,1367.4,359.3207171563836,129111.37777777782,1252.5,1357.0888,1741.4255,1528.6755,120.00991270012288,14402.379146291112,1521.09015,0.0179,0.0719,0.04572,0.0192773787983048,0.0003716173333333,0.04425,32.16,60.89,40.88,10.722704882631062,114.9764,37.44,0,0,0.0,0.0,0.0,0.0
diversity_final_min,13,10,40,4000,0.5,2.0,0.05,1000,100,0.4,20,0.3,0.01,10.0,74714.1871,80611.5575,77675.40878,2010.688659600624,4042868.8858465534,78161.00690000001,1245.2365,1343.526,1294.59015,33.511477618281084,1123.019132160554,1302.68345,916,3112,1671.0,743.1869811083136,552326.8888888889,1414.0,0,3525,2259.8,962.511044669676,926427.511111111,2312.0,1831.8813,1964.5676,1908.07177,43.178813331284246,1864.4099206978904,1910.24745,0.0,0.2194,0.16218,0.0622218753958588,0.0038715617777777,0.18055,59.15,131.22,86.201,23.436912220777813,549.2888544444444,78.765,18,39,25.9,7.264066813202276,52.766666666666666,23.0
diversity_final_max,399,10,40,4000,1.5,2.0,0.2,1000,999999,0.4,0,0.3,0.01,10.0,80509.9254,93343.6362,85494.86583,4415.696471385435,19498375.327405784,83728.90005,1341.8321,1555.7273,1424.91446,73.59494953731836,5416.216597400435,1395.4817,18,640,260.6,269.55939357897853,72662.26666666666,147.5,1018,1640,1260.6,269.55939357897853,72662.26666666666,1147.5,1481.9341,1896.1056,1739.413,135.2944126779324,18304.578101866675,1747.3905,0.0131,0.0579,0.04002,0.0156846563381045,0.0002460084444444,0.0426,30.64,50.61,38.733,8.12860388450016,66.07420111111111,35.480000000000004,0,0,0.0,0.0,0.0,0.0
diversity_final_avg,328,10,40,4000,1.0,5.0,0.2,300,999999,0.4,0,0.3,0.01,10.0,80003.4113,89582.3156,84460.47451,3767.22559502502,14191988.683811614,85639.6771,1333.3902,1493.0386,1407.67458,62.78709540465215,3942.219349352891,1427.32795,15,257,118.5,89.67750863820625,8042.055555555556,131.0,315,557,418.5,89.67750863820625,8042.055555555556,431.0,1481.5423,1674.3138,1577.039,59.7492915762931,3569.97784386889,1583.0464000000002,0.0,0.0677,0.03588,0.0206829398297243,0.0004277839999999,0.03585,9.49,16.69,12.568,2.685011069706128,7.209284444444445,12.93,0,0,0.0,0.0,0.0,0.0
diversity_final_std,369,10,40,4000,1.5,2.0,0.1,650,250,0.4,50,0.3,0.01,10.0,78553.1458,93394.5932,87035.91805000001,4591.54429021037,21082278.968963444,86932.4666,1309.2191,1556.5766,1450.59863,76.52573963822817,5856.188827177886,1448.87445,7,768,294.9,290.5169530337257,84400.1,215.0,657,1418,944.9,290.5169530337257,84400.09999999999,865.0,1818.2641,2076.2575,1912.3825,87.36870118680308,7633.289947068886,1890.6019,0.0963,0.1237,0.11259,0.0081474535899261,6.6381e-05,0.1137,19.73,42.71,28.425,8.775187557349795,77.00391666666668,25.975,2,5,3.1,1.1972189997378648,1.4333333333333331,3.0
diversity_final_var,369,10,40,4000,1.5,2.0,0.1,650,250,0.4,50,0.3,0.01,10.0,78553.1458,93394.5932,87035.91805000001,4591.54429021037,21082278.968963444,86932.4666,1309.2191,1556.5766,1450.59863,76.52573963822817,5856.188827177886,1448.87445,7,768,294.9,290.5169530337257,84400.1,215.0,657,1418,944.9,290.5169530337257,84400.09999999999,865.0,1818.2641,2076.2575,1912.3825,87.36870118680308,7633.289947068886,1890.6019,0.0963,0.1237,0.11259,0.0081474535899261,6.6381e-05,0.1137,19.73,42.71,28.425,8.775187557349795,77.00391666666668,25.975,2,5,3.1,1.1972189997378648,1.4333333333333331,3.0
